iter	Logloss
0	0.2368596237
1	0.155714588
2	0.111387449
3	0.08830724815
4	0.07782202984
5	0.06999547324
6	0.06282883484
7	0.05865004202
8	0.05443786768
9	0.04941507574
10	0.04725006607
11	0.04443552016
12	0.04170096435
13	0.03858791027
14	0.03494157429
15	0.03273416606
16	0.03166535961
17	0.02957373771
18	0.02803657551
19	0.02645151174
20	0.02500870142
21	0.02345039383
22	0.02250095911
23	0.02156740026
24	0.02075688173
25	0.01986573975
26	0.01888630444
27	0.01768602726
28	0.01684219049
29	0.0158266877
30	0.0148039501
31	0.01421714176
32	0.01380828766
33	0.01316967454
34	0.01264392302
35	0.01195491786
36	0.01121072734
37	0.01070968628
38	0.0103888289
39	0.009899236677
40	0.009444747061
41	0.009048597862
42	0.008708845945
43	0.008428127162
44	0.008156547347
45	0.007791200979
46	0.007483938958
47	0.007211470346
48	0.006969769684
49	0.006684273656
50	0.006437675491
51	0.006169630177
52	0.005923611318
53	0.005692204558
54	0.005455890914
55	0.005281026796
56	0.005117012064
57	0.004978415441
58	0.004727201164
59	0.004536583392
60	0.004413219072
61	0.004252191838
62	0.00413748699
63	0.004012987059
64	0.003941514095
65	0.003803316301
66	0.003632587372
67	0.003478949942
68	0.003377154341
69	0.003250597397
70	0.003180865021
71	0.003053890711
72	0.002975755669
73	0.002922381364
74	0.002859329826
75	0.0027584508
76	0.00264457486
77	0.002582331075
78	0.002497088243
79	0.002427105053
80	0.002382093543
81	0.002333886669
82	0.002306578641
83	0.00225822334
84	0.002186911512
85	0.002153205124
86	0.002105133916
87	0.002046743599
88	0.002005337067
89	0.001956443514
90	0.001892712486
91	0.001853071506
92	0.00178959608
93	0.001753778011
94	0.00173049907
95	0.001697990748
96	0.001628117764
97	0.001607774702
98	0.001551963211
99	0.001526992317
100	0.001507562404
101	0.001491841389
102	0.001461682748
103	0.001431567685
104	0.001410792599
105	0.001376067308
106	0.001341588331
107	0.001336253301
108	0.001317465584
109	0.001300151808
110	0.001300151808
111	0.001300151808
112	0.001272996257
113	0.001272997408
114	0.001272997408
115	0.001272997408
116	0.001272990031
117	0.001270715765
118	0.001259560876
119	0.001229521614
120	0.001191711826
121	0.001181982683
122	0.001173444467
123	0.001151935864
124	0.001151914426
125	0.00115190986
126	0.001151896247
127	0.001151883214
128	0.00115187449
129	0.001151868883
130	0.001151853062
131	0.00115184533
132	0.001151841424
133	0.001151826733
134	0.00115182846
135	0.001151822353
136	0.001151797492
137	0.001151774493
138	0.001151777834
139	0.001151766816
140	0.001151750167
141	0.001151748521
142	0.001151738777
143	0.001151741192
144	0.001151730958
145	0.00115172025
146	0.001151704034
147	0.001151695881
148	0.001151700518
149	0.001151700518
150	0.001151681029
151	0.001151683282
152	0.001151683282
153	0.001151683282
154	0.001151657616
155	0.001151657806
156	0.00114899491
157	0.00114896895
158	0.001148968605
159	0.001148954299
160	0.001148945139
161	0.001148958331
162	0.001148915525
163	0.001148918616
164	0.001148909435
165	0.00114889468
166	0.00114888348
167	0.001148884983
168	0.00114889081
169	0.001148868191
170	0.001148860835
171	0.001148841076
172	0.001148843485
173	0.001148826276
174	0.001148825924
175	0.001148821621
176	0.001148800791
177	0.00114880383
178	0.00114878467
179	0.001148768961
180	0.001148764595
181	0.001148766036
182	0.001148763603
183	0.001148755002
184	0.001148755033
185	0.001148736842
186	0.00114870614
187	0.001148707091
188	0.001148699749
189	0.001148701639
190	0.001148701161
191	0.001148669628
192	0.001148639682
193	0.001148635654
194	0.001148610851
195	0.001148588136
196	0.001148577225
197	0.001148554431
198	0.001148548374
199	0.001148553332
